ID,Group,Category,Title,Current state,Local behavior,Upstream behavior,Local evidence,Upstream evidence,Classification,Impact,Disposition,Defect,Confidence,Provenance,Notes
LOD-006,Loading,Concurrency,Tokenizer load overlaps talker loading,Active,loadModelContents starts tokenizer loading with async let while it loads talker components.,Upstream performs a simpler sequential model-directory load.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Reduces cold-load wall time where work overlaps safely.,Keep local,No,Confirmed in source,,
LOD-007,Loading,Tokenizer,Direct strict tokenizer load with fallback,Active,"The loader constructs PreTrainedTokenizer directly from tokenizer files with strict mode, falling back to AutoTokenizer.",Upstream primarily uses AutoTokenizer in the reviewed Qwen loader.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids repeated generalized auto-resolution and records which path was used.,Keep local,No,Confirmed in source,,
LOD-008,Loading,Caching,Prepared tokenizer component cache,Active,"Tokenizers are cached by canonical prepared-directory key, with smaller iOS limits.",Upstream has a reference-audio cache but no equivalent prepared-component cache.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids repeated tokenizer reconstruction.,Keep local; use typed keys.,No,Confirmed in source,,
LOD-009,Loading,Caching,Prepared speech-tokenizer cache,Active,Speech tokenizers are cached separately by prepared directory and encoder inclusion.,No equivalent upstream cache.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Allows decoder-only and full-capability variants without key collision.,Keep local,No,Confirmed in source,,
LOD-010,Loading,Capability profile,Decoder-only speech-tokenizer loading,Active,"When the encoder is omitted, encoder weights are filtered before sanitization/update.",Upstream loads the speech tokenizer as a full model-directory component.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),memory,Reduces load cost for modes that do not need reference encoding.,Keep local,No,Confirmed in source,,
LOD-011,Loading,Validation,Qwen3 12 Hz speech-tokenizer config contract validation,Active,The local loader rejects a tokenizer configuration that does not match expected Qwen3-TTS 12 Hz structure.,The reviewed upstream loader decodes configuration and loads weights without this same product contract check.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Fails early on incompatible artifacts.,Keep local; upstreamable as model-specific validation.,No,Confirmed in source,,
LOD-012,Loading,Weight source,Prefer direct model.safetensors then merge shards,Active,"loadWeights first checks a named direct safetensors file, otherwise merges all safetensors in the directory.",Upstream enumerates and merges model-directory safetensors.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids unnecessary directory merge work for canonical prepared layouts.,Keep local,No,Confirmed in source,,
LOD-013,Loading,Memory,Explicit dictionary/pair release between load phases,Active,Temporary weight dictionaries and parameter-pair arrays are cleared around updates and cache clears.,Upstream uses a simpler load path with fewer explicit release points.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),memory,Narrows transient load high-water where references are genuinely distinct.,Keep local; retain only evidence-backed release points.,No,Confirmed in source,,
LOD-014,Loading,Evaluation,Layer-batched talker evaluation,Active,Talker and code-predictor parameters are materialized in bounded layer batches.,Upstream evaluates whole component parameter collections more directly.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),memory,Controls load-time materialization pressure.,Keep local,No,Confirmed in source,,
LOD-015,Loading,Evaluation,Batched speech-tokenizer parameter evaluation,Active,Speech-tokenizer parameter arrays are evaluated in batches with cache clears between batches.,No equivalent bounded evaluator in the reviewed upstream loader.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),memory,Reduces peak materialization pressure.,Keep local,No,Confirmed in source,,
LOD-016,Loading,Trust,Relaxed unused-key verification only for trusted prepared checkpoint,Active,The trusted prepared path uses noUnusedKeys verification while the ordinary path uses all.,Upstream uses ordinary full verification for its standard load path.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),compatibility,Avoids duplicate expensive validation only after Core has established artifact trust.,Keep local; include runtime/dependency ABI in trust signature.,No,Confirmed in source,,
LOD-017,Loading,Diagnostics,Prepared-load diagnostic event sink,Active,The loader emits named before/after/failure events and structured string details.,No equivalent upstream sink.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/TTSModel.swift),[`Sources/MLXAudioTTS/TTSModel.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/TTSModel.swift),instrumentation,Makes cold-load failures diagnosable.,Keep local; type the events.,No,Confirmed in source,,
LOD-018,Loading,Correctness gap,Requested component may be returned without loaded weights,Active defect,"If speaker-encoder or speech-tokenizer weight maps are empty, the code can log a warning and still retain/return an initialized component object.","Upstream also has permissive warning paths, but the local capability-profile machinery can make presence look authoritative.",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,A corrupted or incomplete prepared directory could expose randomly initialized components.,Fix: throw or return nil when a requested learned component has no verified weights.,Yes,Confirmed in source,,
LOD-019,Loading,Core trust,Prepared checkpoint trust marker and fingerprinting,Active,QwenVoiceCore records descriptor/config/runtime profile and file metadata/digests to avoid repeating full preparation checks.,This product-level trust layer is outside upstream.,[`Sources/QwenVoiceCore/MLXModelLoadCoordinator.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/MLXModelLoadCoordinator.swift),,performance,Makes large local checkpoint reuse practical while retaining invalidation evidence.,Keep local; bind to exact MLX/LM versions and fork schema.,No,Confirmed in source,,
PRM-001,Prompting,Speaker config,Scalar-or-array speaker ID compatibility,Active,"The local decoder first attempts [String:[Int]], then falls back from [String:Int] to one-element arrays.",Current upstream uses a typed SpkIdValue enum for the same checkpoint variability.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift),compatibility,Supports both Base and Custom Voice config shapes.,Consider porting upstream's typed representation.,No,Confirmed in source,,
PRM-002,Prompting,Dialect config,String-or-bool dialect compatibility,Active,The local decoder accepts String or Bool and retains only string dialect names.,Current upstream uses a typed SpkDialectValue preserving both forms.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift),compatibility,Handles mixed checkpoint JSON; local representation loses an explicit false value.,Port upstream's typed representation when convenient.,No,Confirmed in source,,
PRM-003,Prompting,Speaker resolution,Unsupported speaker is a typed generation error,Active,Explicit Custom Voice preparation requires a nonempty speaker ID and throws when it is absent from the map.,Upstream generic preparation can warn and continue without a speaker embedding in some compatibility paths.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Avoids silently generating with the wrong conditioning.,Keep local; upstream candidate.,No,Confirmed in source,,
PRM-004,Prompting,Dialect resolution,Dialect can override Auto/Chinese language ID,Active,"For configured dialect speakers, the local resolver maps the dialect to the codec language ID.","Upstream also supports dialect metadata, but through its generic prompt path.",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Preserves expected dialect token conditioning.,Keep local,No,Confirmed in source,,
PRM-005,Prompting,Model capability,0.6B Custom Voice instruction suppression,Active,The local runtime disables Custom Voice instruction control for the 0.6B Custom Voice configuration.,Upstream generic parsing accepts speaker/instruction without the same product guard.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Prevents unsupported conditioning from being presented as effective.,Keep local; document by model capability.,No,Confirmed in source,,
PRM-006,Prompting,Caching,Conditioning-prefix LRU cache,Active,Custom and Design control prefixes are cached independently using normalized model/mode/language/speaker/instruction keys.,"Upstream has a reference-audio identity cache, not this product prefix cache.",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Avoids repeated tokenization and embedding construction.,Keep local; replace string concatenation with typed keys.,No,Confirmed in source,,
PRM-007,Prompting,Conditioning mode,Streaming trailing-text versus full-text nonstreaming modes,Active,The generation core has an explicit Qwen3TextConditioningMode and full-result APIs select fullTextNonStreaming.,Upstream has one generic generation assembly path.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Separates preview latency behavior from canonical final waveform behavior.,Keep local,No,Confirmed in source,,
PRM-008,Prompting,Clone artifact,Versioned Qwen3TTSVoiceClonePrompt,Active,"Clone conditioning stores optional reference codes, speaker embedding, transcript, ICL/x-vector mode, and metadata.",Upstream has reusable in-memory reference conditioning but not the same product persistence format.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),product-specific,Enables Saved Voices and cross-run reuse.,Keep local,No,Confirmed in source,,
PRM-009,Prompting,Clone artifact,Artifact metadata matching,Active,"Metadata can bind model ID, language, source fingerprint, transcript hash/presence, clone mode, runtime profile, and creation time.",No upstream persistent metadata contract.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),,correctness,Invalidates stale prompt artifacts when selected model/reference changes.,Keep local,No,Confirmed in source,,
PRM-010,Prompting,Clone artifact,Production directory-level atomic publication,Active,"QwenVoiceCore writes a complete prompt into a unique sibling temporary directory, then moves or atomically replaces the destination.",Not applicable upstream.,[`Sources/QwenVoiceCore/NativeCloneSupport.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/NativeCloneSupport.swift),,correctness,Prevents a partially written manifest/tensor set from replacing the prior complete artifact.,Keep local,No,Confirmed in source,,Correction to the earlier report: production publication is atomic. The low-level serializer alone is not.
PRM-011,Prompting,Clone artifact,Low-level serializer is not independently transactional,Active API limitation,Qwen3TTSVoiceClonePrompt.write writes manifest and tensor files in sequence; safety depends on the Core staging wrapper.,No equivalent persistent serializer upstream.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),,maintainability,A future direct caller could bypass atomic publication.,Make serializer internal or rename/document it as staging-only.,Potential misuse,Confirmed in source,,
PRM-012,Prompting,Clone artifact,Tensor structural/content validation missing,Active gap,"Loading checks schema and metadata but does not verify expected tensor key count, dtype, dimensions, file length, or content digest.",No equivalent persistent artifact upstream.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),,correctness,Corrupted or mismatched tensors can fail later or condition the wrong voice.,"Fix: manifest file hashes, sizes, keys, dtypes, shapes, and mode requirements.",Yes — integrity gap,Confirmed in source,,
PRM-013,Prompting,Clone cache,"Normalized-reference, decoded-audio, conditioning, and prompt LRUs",Active,Core caches multiple clone pipeline stages and fingerprints source audio with SHA-256.,Upstream's model cache is narrower and based on MLXArray object identity for reference context.,[`Sources/QwenVoiceCore/NativeCloneSupport.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/NativeCloneSupport.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,"Avoids repeated normalization, decoding, encoding, and prompt construction.",Keep local; add memory accounting and typed cache keys.,No,Confirmed in source,,
PRM-014,Prompting,Clone modes,ICL and x-vector-only prompt creation,Active,The clone prompt builder validates transcript requirements and can omit reference codes for x-vector-only mode.,Upstream reference-conditioning APIs focus on the generic raw reference path.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),product-specific,Supports distinct clone quality/memory modes.,Keep local,No,Confirmed in source,,
CON-001,Concurrency,Serialization,Qwen3TTSGenerationGate,Active,Preparation and generation operations share a FIFO actor gate to protect mutable decoder/cache state.,Upstream relies on caller discipline and model-local mutable state without this same explicit product gate.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Prevents concurrent mutation of model and streaming decoder state.,Keep local; fix transfer cancellation race.,No,Confirmed in source,,
CON-002,Concurrency,Cancellation,Generation-gate transfer race,Active defect,"After a queued continuation is resumed, a final cancellation check can throw after ownership transferred but before release protection begins, leaving the gate held.",No equivalent gate upstream.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),,correctness,Can indefinitely block later preparation and generation calls.,High priority fix with deterministic cancellation injection test.,Yes,Confirmed in source,,
