ID,Group,Category,Title,Current state,Local behavior,Upstream behavior,Local evidence,Upstream evidence,Classification,Impact,Disposition,Defect,Confidence,Provenance,Notes
GEN-023,Generation,Streaming pipeline,In-loop audio chunk async evaluation,Active,Non-final streaming chunks can be async-evaluated so decoder materialization overlaps later token work.,Upstream synchronously evaluates each emitted audio chunk.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),performance,Pipelines decoder work with the autoregressive loop.,Keep local; preserve final-chunk ordering barrier.,No,Confirmed in source,,
GEN-024,Generation,Streaming correctness,Final trailing chunk forced synchronous,Active,The trailing decoder chunk is evaluated synchronously before generation returns.,"Upstream synchronously evaluates all chunks, so it does not have the local async handoff race.",[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Closes a race where final-file handoff could precede playback queue drain.,Keep local,No,Confirmed in source,,
GEN-025,Generation,Quality path,Dedicated full-result generation for Custom/Design/Clone,Active,Mode-specific full-result methods select full-text conditioning and return structured completion.,Upstream's generic generate path does not make this product distinction explicit.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),correctness,Treats streaming preview and canonical persisted waveform as separate policies.,Keep local,No,Confirmed in source,,
DEC-001,Decoder,Numerical correctness,Input-side overlap-and-discard transposed convolution,Active,"DecoderBlockUpsample keeps one input frame as context, recomputes a composed output, and discards the repeated prefix.",Current upstream accumulates an output overflow tail and adds it into the next chunk.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),correctness,Removes chunk-boundary floating-point accumulation drift and makes output partition-invariant.,Strong upstream candidate with partition tests.,No,Confirmed in source,Recorded as decoder-drift fix `4fab110`.,
DEC-002,Decoder,Future-proofing,Exact block-count fast-path guard,Active,The optimized decoder block step requires exactly five layers; any other shape uses a count-agnostic fallback.,Upstream uses the ordinary block implementation without this local explicit guard/commented invariant.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),correctness,Avoids silently dropping future residual layers.,Upstream candidate.,No,Confirmed in source,,
DEC-003,Decoder,Instrumentation,streamingStepWithTimings,Active,The speech decoder can return waveform plus detailed Mimi decoder timings.,Upstream exposes the ordinary streaming step.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),instrumentation,Supports per-frame and per-chunk decoder attribution.,Keep local,No,Confirmed in source,,
DEC-004,Decoder,Capability,Encoder can be omitted at construction/load,Active,Qwen3TTSSpeechTokenizer has an includeEncoder capability path used by prepared load profiles.,Upstream model-directory load generally constructs the full configured tokenizer.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),memory,Reduces resident model surface when cloning/reference encoding is unavailable or unnecessary.,Keep local,No,Confirmed in source,,
DEC-005,Decoder,State,Explicit reset across all incremental layers,Active,"Initial/output conv buffers, decoder blocks, and upsample input context are reset between streams.",Upstream resets its overflow/buffer state under its own algorithm.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSSpeechTokenizer.swift),correctness,Required for independent generations.,Retain and test.,No,Confirmed in source,,
DEC-006,Decoder,Mimi Conv,Local Mimi wrappers remain on older MLX API style,Active compatibility debt,The fork retains the imported Conv wrappers compatible with MLX 0.30.6.,Current upstream has refactored Mimi convolution wrappers around newer MLXNN Conv1d/ConvTransposed1d classes.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCodecs/Mimi/Conv.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCodecs/Mimi/Conv.swift),[`Sources/MLXAudioCodecs/Mimi/Conv.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCodecs/Mimi/Conv.swift),compatibility,"An upgrade blocker, not a present correctness defect.",Evaluate only with the MLX/LM compatibility branch.,No,Confirmed in source,,
INT-001,Integration,Backend adapter,QwenVoice-specific closure adapter,Active,UnsafeSpeechGenerationModel converts the fork protocols into QwenVoiceCore closures and applies product parameter policies.,No upstream equivalent.,[`Sources/QwenVoiceCore/UnsafeSpeechGenerationModel.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/UnsafeSpeechGenerationModel.swift),,product-specific,"Allows a single-owner model to cross actor boundaries, but expands unchecked contracts.",Move into/behind BackendCore over time.,No,Confirmed in source,,
INT-002,Integration,Boundary,Fork-specific types leak above BackendCore,Active design debt,QwenVoiceCore and several app/service targets directly link MLXAudioCore/TTS and use fork-specific protocols/types.,Upstream is itself the package boundary.,[`project.yml`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/project.yml),,maintainability,Increases blast radius of vendor API changes.,Constrain fork-specific APIs to BackendCore; neutral MLXArray/Core exceptions may remain explicit.,Design debt,Confirmed in source,,
INT-003,Integration,Output,Product streaming WAV/final-file pipeline outside vendor,Active,QwenVoiceCore writes streamed/final audio with product-owned atomic file and telemetry behavior.,Upstream provides generic AudioUtils and StreamingWAVWriter.,[`Sources/QwenVoiceCore/NativeStreamingSynthesisSession.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/NativeStreamingSynthesisSession.swift),[`Sources/MLXAudioCore/AudioUtils.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/AudioUtils.swift),product-specific,Separates package generation from durable application artifacts.,Keep local,No,Confirmed in source,,
INT-004,Integration,Generic writer,Local vendor StreamingWAVWriter lacks upstream buffer reuse,Active low-impact lag,The specialized vendor still allocates a new AVAudioPCMBuffer per generic writer chunk.,Current upstream reuses a buffer and accepts MLXArray/data writes.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/AudioUtils.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/AudioUtils.swift),[`Sources/MLXAudioCore/AudioUtils.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/AudioUtils.swift),performance,Low production impact because the product uses a different writer.,Optional selective port.,No,Confirmed in source,,
INT-005,Integration,Memory pressure,Host-driven cache trimming and platform policy,Active,"Core resolves device-tier memory behavior, invokes fork cache clearing, and controls prewarm/streaming policies.",Upstream package does not own product host memory admission or XPC/iOS policy.,[`Sources/QwenVoiceCore/NativeEngineRuntime.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/NativeEngineRuntime.swift),,memory,Adapts one model runtime to 8 GB Macs and iPhones.,Keep outside mathematical kernel.,No,Confirmed in source,,
INT-006,Integration,macOS process model,XPC engine isolation,Active,macOS runs generation in a service for crash isolation and retire/unload control.,Upstream is an in-process SDK.,[`Sources/QwenVoiceEngineService/main.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceEngineService/main.swift),,product-specific,Process isolation and lifecycle control; not a vendor-patch difference by itself.,Keep product-owned.,No,Confirmed in source,,
INT-007,Integration,iOS process model,In-process iOS engine,Active,iOS uses the same backend in-process under iOS memory policy.,Upstream is a library and does not dictate process model.,[`project.yml`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/project.yml),,product-specific,Avoids extension memory-cap constraints.,Keep product-owned.,No,Confirmed in source,,
BEN-001,Benchmarks,Memory,Streaming versus nonstreaming retention dominates peak,"Measured, current-relevant",Repository benchmarks report streaming Speed paths around ~2.4–3.8 GB versus roughly ~7–8 GB for old full-history nonstreaming runs.,"Upstream source retains full generated code history in its streaming loop, but no equivalent Vocello hardware matrix was reviewed.",[`benchmarks/OPTIMIZATION.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/benchmarks/OPTIMIZATION.md),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),memory,Supports the source-level pending-chunk design.,"Treat as hardware-specific evidence, not a universal number.",No,Source plus repository benchmark evidence,,
BEN-002,Benchmarks,Performance,Streaming-default Speed reaches approximately realtime on reference 8 GB Mac,Measured,The committed streaming-default baseline reports Custom/Design Speed RTF around 0.95–1.04 with all QC passing.,,[`benchmarks/OPTIMIZATION.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/benchmarks/OPTIMIZATION.md),,performance,Demonstrates product viability on the recorded machine/configuration.,Preserve baseline metadata; do not generalize to all devices.,No,Repository benchmark evidence,,
BEN-003,Benchmarks,Attribution,Swift timers around lazy MLX ops are not GPU-stage timings,Measured methodology,The repository explicitly states that stepEval contains fused compute while talker/codePred timers largely measure graph construction.,,[`benchmarks/OPTIMIZATION.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/benchmarks/OPTIMIZATION.md),,instrumentation,Prevents incorrect optimization conclusions.,Retain this caveat in all performance reports.,No,Repository benchmark methodology,,
BEN-004,Benchmarks,Rejected experiment,Compiling quantized per-frame graph regressed warm RTF,Rejected and absent,A validation spike reportedly regressed warm RTF by about 5% and was reverted.,,[`benchmarks/OPTIMIZATION.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/benchmarks/OPTIMIZATION.md),,performance,Explains why the fork compiles only small elementwise regions rather than the whole quantized loop.,Do not reintroduce without a new MLX implementation or different trace-constant strategy.,No,Repository benchmark evidence,,
BEN-005,Benchmarks,Rejected experiment,Eager talkerSourceWeights release measured no benefit,Rejected and absent,"A reordered release was tested, found within noise, and reverted.",,[`benchmarks/OPTIMIZATION.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/benchmarks/OPTIMIZATION.md),,memory,Avoids crediting a nonexistent active optimization.,Leave reverted; re-test only on speaker-encoder-heavy clone load.,No,Repository benchmark evidence,,
BEN-006,Benchmarks,Rejected/default-off feature,Rotating KV produced negligible RAM benefit under current cap,"Active plumbing, inactive policy",Measurements found talker KV to be tens of MB and a 2048 window cannot rotate before the 2048 token cap.,,[`benchmarks/OPTIMIZATION.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/benchmarks/OPTIMIZATION.md),,memory,Corrects earlier estimates that attributed gigabytes to the talker KV.,Keep off by default; do not market as a current memory optimization.,No,Source plus repository benchmark evidence,,
BEN-007,Benchmarks,Quality,"Punctuation-aware audioQC is Core policy, not model optimization",Active outside vendor,Core budgets long pauses against punctuation and flags only excess/egregious gaps.,,[`Sources/QwenVoiceCore/NativeStreamingSynthesisSession.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/Sources/QwenVoiceCore/NativeStreamingSynthesisSession.swift),,correctness,Reduces false positives without changing generated waveform.,Keep separate from model-backend delta claims.,No,Confirmed in source,,
BEN-008,Benchmarks,Live preview,Repository A/B reports negligible engine cost,Measured,On-device evidence records no measurable RTF or peak-memory cost within noise for enabled live preview.,,[`benchmarks/OPTIMIZATION.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/benchmarks/OPTIMIZATION.md),,performance,"Supports retaining live playback, but applies only to the tested device/configuration.",Retain as scoped evidence.,No,Repository benchmark evidence,,
UPS-001,Upstream,Testing,Upstream tiny Qwen fixtures and direct tests,Not ported,The fork does not include a dedicated equivalent test target.,"Upstream tests reusable reference conditioning, direct/stream generation, raw compatibility, and Custom Voice separation.",[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Tests/MLXAudioTTSTests.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Tests/MLXAudioTTSTests.swift),maintainability,High-value evidence that can be adapted without importing unrelated models.,Port/adapt immediately.,No,Confirmed in source,,
UPS-002,Upstream,Configuration,Typed SpkIdValue and SpkDialectValue,Not ported,Local config normalizes values into arrays/optional strings.,Upstream preserves source JSON variants in typed enums.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTSConfig.swift),maintainability,Upstream representation is clearer and more lossless.,Selective port.,No,Confirmed in source,,
UPS-003,Upstream,Audio writer,Reusable generic StreamingWAVWriter buffer,Not ported,Local generic writer uses per-chunk buffers.,Upstream reuses buffers and supports direct MLX/data writes.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/AudioUtils.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCore/AudioUtils.swift),[`Sources/MLXAudioCore/AudioUtils.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCore/AudioUtils.swift),performance,Useful only if generic writer remains supported.,Low-priority port.,No,Confirmed in source,,
UPS-004,Upstream,Dependencies,Newer MLX/MLX-LM and Swift tools,Deferred,Local remains on the benchmarked exact pins.,Upstream has advanced to Swift tools 6.2 and newer MLX-LM.,[`third_party_patches/mlx-audio-swift/Package.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Package.swift),[`Package.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Package.swift),compatibility,"Security/compatibility fixes may accumulate, but blind upgrades can change quantization and numerics.",Quarterly evidence-driven compatibility branch.,No,Confirmed in source,,
UPS-005,Upstream,Mimi Conv,Newer MLXNN convolution wrapper refactor,Not ported,Local uses the older imported wrapper compatible with 0.30.6.,Upstream subclasses current MLXNN convolution classes.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioCodecs/Mimi/Conv.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioCodecs/Mimi/Conv.swift),[`Sources/MLXAudioCodecs/Mimi/Conv.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioCodecs/Mimi/Conv.swift),compatibility,Potentially simplifies future maintenance; tightly dependency-coupled.,Evaluate with dependency upgrade and numerical streaming tests.,No,Confirmed in source,,
UPS-006,Upstream,Breadth,Broad model/task support,Intentionally removed,The fork is Qwen3-TTS-only.,"Upstream continues adding TTS, STT, VAD, STS, codec, and G2P models.",[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md),[`README.md`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/README.md),product-specific,Upstream is superior as a general SDK; irrelevant breadth would increase product risk.,Do not port by default.,No,Confirmed in source,,
GOV-001,Governance,Naming,third_party_patches understates ownership,Active documentation debt,The directory name suggests a thin patch set even though the tree is intentionally specialized and locally owned.,,[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md),,maintainability,Can lead contributors to attempt unsafe rebases or mass replacement.,Rename conceptually now; physical move only with a dedicated migration.,No,Confirmed in source,,
GOV-002,Governance,Provenance,UPSTREAM.md records import but not exhaustive patch ledger,Active gap,"The metadata names the baseline and several retained deltas, but not every current symbol-level divergence.",,[`third_party_patches/mlx-audio-swift/UPSTREAM.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/UPSTREAM.md),,maintainability,Forces archaeology when reviewing upstream changes.,Adopt the generated JSON/CSV ledger from this report.,No,Confirmed in source,,
GOV-003,Governance,README,Vendored README can describe removed upstream products/models,Active drift risk,The copied upstream-facing README is not a reliable description of the specialized package.,Upstream README correctly describes the full SDK.,[`third_party_patches/mlx-audio-swift/README.md`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/README.md),[`README.md`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/README.md),maintainability,Misleads contributors and package consumers.,Replace with a specialization README linking to provenance.,No,Confirmed in source,,
GOV-004,Governance,Diagnostics,Stringly typed metrics and flags,Active design debt,Many load/preparation/hot-loop values are merged by string keys across layers.,Upstream has much less instrumentation and therefore less schema burden.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),,maintainability,Renames can silently break summarizers and historical comparisons.,Define typed metrics and one versioned serialization adapter.,No,Confirmed in source,,
GOV-005,Governance,Policy placement,Environment variables read inside vendor runtime,Active design debt,"Sampling, cache, and diagnostic policies are partly resolved from process environment in the modified package.",Upstream uses generic call parameters and package defaults.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),maintainability,Process-global policy is difficult to reason about and test under concurrency.,Resolve typed policy in BackendCore and inject it.,No,Confirmed in source,,
GOV-006,Governance,Source concentration,Qwen3TTS.swift combines many responsibilities,Active design debt,"One large source file contains caches, serialization, concurrency, APIs, prompt assembly, generation, sampling, diagnostics, and loading.",Upstream file is also large but materially smaller and less product-specific.,[`third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/PowerBeef/QwenVoice/blob/05bd2b6d24b3f43351f3b388622a72d8f0d6ecce/third_party_patches/mlx-audio-swift/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),[`Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift`](https://github.com/Blaizzy/mlx-audio-swift/blob/d302a5c6080d2bb97bae38c7418f82abb76013b6/Sources/MLXAudioTTS/Models/Qwen3TTS/Qwen3TTS.swift),maintainability,Raises review and selective-sync cost.,Split by responsibility under one model type.,No,Confirmed in source,,
